REGISTRO N§;FECHA;HORA;DESCRIPCION (Vehiculo / Moto);DOMINIO;MARCA;MODELO;COLOR;TIPO;CHASIS N§;MOTOR N§;LEVANTADO EN :;AGENTE DE PLAYA QUE RECIBIO;GRUA / CHOFER;INVENTARIO SI/NO;NUMERO DE RECLAMO ;FECHA;HORA;GRUA/CHOFER;ENTREGA AGENTE;NOTAS;CONTROL DE LEGALES;
208;23/04/2015;11:31;SI;VZQ314;VW;1500;NEGRO;PARTICULAR;S/D;S/D;SARANDI 670;AYES-APES-MORENO-PLATAS;S.O.S MEDINA;SI;;06/07/2015;11:20;BINETTI CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
209;23/04/2015;12:00;SI;S/PLACA;TOYOTA;;AZUL;PARTICULAR;S/D;S/D;VICTOR MARTINEZ 1832;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;S/D;;MAIDANA CACTYT;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
210;23/04/2015;12:20;SI;S/PLACA;FORD;;AZUL;PARTICULAR;S/D;S/D;BOGOTA 1650;AYES-APES-MORENO-PLATAS;BINETTI;SI;;S/D;;MAIDANA CACTYT;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
211;23/04/2015;12:35;SI;UPN645;PEUGEOT;504;AZUL;PARTICULAR;S/D;S/D;NEUQUEN 1159;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;26/10/2015;17:44;SANTOLLI CACTYT;AYESTARAN/PIZARRO/HURTADO;TRASLADADO A HERRERA;;
212;23/04/2015;13:25;SI;AOJ860;RENAULT;19;BORDO;PARTICULAR;S/D;S/D;TUCUMAN 3281;AYES-APES-MORENO-PLATAS;S.O.S;SI;;02/07/2015;11:20;MAIDANA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
213;23/04/2015;14:49;SI;B177558;FORD;CONFOR;;PARTICULAR;S/D;S/D;LUGONES 1830;HURTADO-PIZARRO;S.O.S APONTE;SI;PARA COMPACTAR;27/08/2015;16:40;FUENTES CACTYT;HURTADO-PIZARRO;TRASLADADO A HERRERA;;
214;23/04/2015;15:19;SI;WIC426;AUDI;;CELESTE;PARTICULAR;S/D;S/D;AVELLANEDA 200;HURTADO;S.O.S MEDINA;SI;;22/07/2015;10:15;MAIDANA CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
215;23/04/2015;16:45;SI;VJV128;RENAULT;FUEGO;AZUL;PARTICULAR;S/D;S/D;ACHEGA 3017;GATICA;ESTEFANOS;SI;;02/07/2015;16:15;FUENTES CACTYT;PIZARRO;TRASLADO A HERRERA;;
216;23/04/2015;16:48;SI;TNE426;RENAULT;18;AZUL;PARTICULAR;S/D;S/D;ALVAREZ TOMA 2323;PIZARRO;CABRERIZO;SI;;02/07/2015;10:44;FUENTES CACTYT;CARRILLO/APES/MORENO;TRASLADO A HERRERA;;
217;23/04/2015;17:00;SI;S/PLACA;FIAT;REGATTA;GRIS;PARTICULAR;S/D;S/D;PEDRAZA 3465;GATICA;TAPIA;SI;;09/05/2015;11:28;BARROCA CACTYT NTN 849;AMADEO;TRASLADO A HERRERA;;
218;23/04/2015;17:05;SI;CSD676;RENAULT;19;NEGRO;PARTICULAR;S/D;S/D;AMBROSETTI 740;GATICA;S.O.S MEDINA;SI;;01/07/2015;16:00;SANTOLLI (CACTYT);PIZARRO;TRASLADO A HERRERA;;
219;23/04/2015;17:06;SI;S/PLACA;VW;POINTER;GRIS;PARTICULAR;S/D;S/D;FELIPE VALESES 3253;PIZARRO;S.O.S GABRIELLI;SI;;09/05/2015;10:59;BARROCA CACTYT NTN 849;AMADEO;TRASLADO A HERRERA;;
220;23/04/2015;17:15;SI;B156152;RAMBLER;COUNTRY;CREMITA;PARTICULAR;S/D;S/D;CABRERA 5800;GATICA;LEIVA;SI;PARA COMPACTAR;27/07/2015;16:50;CABRERIZO CACTYT;PIZARRO;TRASLADO A HERRERA;;
221;23/04/2015;18:00;SI;S/PLACA;FIAT;600;VIOLETA;PARTICULAR;S/D;S/D;CUCHACUCHA 1500;GATICA;S.O.S APONTE;SI;;01/06/2015;17:00;TAPIA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
222;23/04/2015;18:44;SI;S/PLACA;;;OXIDADO;PARTICULAR;S/D;S/D;MIGUEL 1560;PIZARRO;TAPIA;SI;;05/06/2015;10:30;DOMINGUEZ (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
223;23/04/2015;19:54;SI;UBK931;RENAULT;11;AZUL;PARTICULAR;S/D;S/D;AVELLANEDA 255;PIZARRO;S.O.S GABRIELLI;SI;;11/09/2015;16:50;BARVATO BONORINO(T)20383986;PIZARRO/HURTADO;BONORINO BORBATO DNI 20385986;;
224;23/04/2015;20:30;SI;CBM195;FORD;FIESTA;GRIS;PARTICULAR;S/D;S/D;F.VALLESE 2800;GATICA;S.O.S MEDINA;SI;;10/09/2015;16:40;LEIVA CACTYT;AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
225;24/04/2015;01:00;SI;AGL416;FIAT;REGATTA;AZUL;PARTICULAR;S/D;S/D;S/D;LIETS-BERARDI;VELAZQUEZ;SI;;;;;;;;
226;24/04/2015;09:55;SI;WMB913;RENAULT;18;AZUL;PARTICULAR;S/D;S/D;DONADO 1390;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;03/11/2015;10:00;SICA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
227;24/04/2015;10:00;SI;VJN340;PEUGEOT;504;CREMITA;PARTICULAR;S/D;S/D;JOSE INGENIEROS 2760;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;15/09/2015;18:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
228;24/04/2015;11:30;SI;JNI754;VW;VOYAGE;GRIS;PARTICULAR;S/D;S/D;CASTA¥ARES 1321;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;02/07/2015;17:00;FUENTES (CACTYT);PIZARRO;TRASLADO A HERRERA;;
229;24/04/2015;12:00;SI;TBL641;VW;SENDA;AZUL;PARTICULAR;S/D;S/D;BALBASTRO 790;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;24/06/2015;10:40;MAIDANA(CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
230;24/04/2015;12:05;SI;ACE532;FIAT;DUNA;BLANCO;PARTICULAR;S/D;S/D;LAGUNA 500;AYES-APES-MORENO-PLATAS;MERCADO;SI;;03/06/2015;14:28;GRINBLAT LEONOR (T) (DNI:16396001);PIZARRO;RETIRA TITULAR;;
231;24/04/2015;12:45;SI;UIN072;RENAULT;6;CELESTE;PARTICULAR;S/D;S/D;CALIFORNIA 1110;AYES-APES-MORENO-PLATAS;MERCADO;SI;;27/04/2015;17:45;LEIVA- CACTYT;PIZARRO;TRASLADO A HERRERA;;
232;24/04/2015;13:43;SI;UCY677;FIAT;1500;BLANCO;PARTICULAR;S/D;S/D;ARAOZ DE LA MADRID 400;AYES-APES-MORENO-PLATAS;MERCADO;SI;PARA COMPACTAR;28/07/2015;17:00;ARRIOLA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
233;24/04/2015;16:20;SI;S/PLACA;BMW;;OXIDADO;PARTICULAR;S/D;S/D;ZAPIOLA;GATICA;TAPIA;SI;;08/05/2015;15:10;FUENTES-CACTYT;PIZARRO;TRASLADO A HERRERA;;
234;24/04/2015;17:45;SI;WGQ483;FORD;;ROJO;PARTICULAR;S/D;S/D;TACUARI 1738;HURTADO;TAPIA;SI;PARA COMPACTAR;04/08/2015;17:30;FUENTES(CACTYT);PIZARRO;TRASLADADO A HERRERA;;
235;24/04/2015;18:13;SI;S/PLACA;FORD;GALAXY;NEGRO;PARTICULAR;S/D;S/D;SENILLOSA Y SANTADER;PIZARRO;MANGO;SI;;01/06/2015;17:30;TAPIA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
236;24/04/2015;18:25;SI;S/PLACA;FIAT;147;CELESTE;PARTICULAR;S/D;S/D;JCCPAZ Y ALMAFUERTE;GATICA;ORTIGOZA;SI;;27/04/2015;18:07;LEIVA- CACTYT;PIZARRO;TRASLADO A HERRERA;;
237;24/04/2015;18:50;SI;S/PLACA;FIAT;128;GRIS;PARTICULAR;S/D;S/D;ESQUIUX  Y SAENZ;PIZARRO;FUENTES;SI;;12/05/2015;17:30;CABRERIZO CACTYT;PIZARRO;TRASLADO A HERRERA;;
238;24/04/2015;19:47;SI;S/PLACA;FORD;FALCON;CELESTE;PARTICULAR;S/D;S/D;JCCPAZ Y FUENTES;GATICA;ORTIGOZA;SI;;27/04/2015;17:25;LEIVA- CACTYT;PIZARRO;TRASLADO A HERRERA;;
239;25/04/2015;00:47;SI;S/PLACA;RENAULT;12;GRIS;PARTICULAR;S/D;S/D;S/D;LIETS-BERARDI-BRAGUE;VELAZQUEZ;SI;;09/05/2015;11:56;BARROCA (CACTYT) NTN849;AMADEO;TRASLADO A HERRERA;;
240;25/04/2015;01:00;SI;RAT222;FIAT;125;CELESTE;PARTICULAR;S/D;S/D;S/D;LIETS-BERARDI-BRAGUE;BENEGA;SI;;28/07/2015;11:30;ACOSTA CACTYT;CARRILLO / PLATAS/ APES;TRASLADO A HERRERA;;
241;25/04/2015;11:56;SI;S/PLACA;FORD;ESCORT;OXIDADO;PARTICULAR;S/D;S/D;EL SALVADOR 5868;AMADEO;ALAMINO -NTN845;SI;;12/05/2015;12:00;ACOSTA CACTYT;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
242;25/04/2015;13:57;SI;VQL924;RENAULT;6;AZUL;PARTICULAR;S/D;S/D;SAN ANTONIO 529;AMADEO;BARROCA -FTPd782;SI;;27/05/2015;15:45;GRUA FTA484;PIZARRO;RETIRA TITULAR RAMIS OMAR MAFRE (T)13886923;;
243;25/04/2015;17:56;SI;ALF908;FIAT;TEMPRA;BLANCO;PARTICULAR;S/D;S/D;GINEBRA 3943;AMADEO;ALAMINO -NTN845;SI;;26/10/2015;17:14;SANTOLLI (CACTYT);AYESTARAN/PIZARRO/HURTADO;TRASLADADO A HERRERA;;
244;25/04/2015;18:02;SI;FKY320;RENAULT;KANGOO;VERDE;PARTICULAR;S/D;S/D;BUCARELLI 1200;AMADEO;BARROCA -FTPd782;SI;;07/05/2015;11:10;CAIMARIS ANIBAL (T) (DNI: 14101251);MORENO -PLATAS;RETIRA TITULAR;;
245;26/04/2015;09:31;SI;TLJ376;;APPLAUSER;BORDO;PARTICULAR;S/D;S/D;ARAOZ 2660;AMADEO;ALAMINO -NTN845;SI;;26/06/2015;10:45;MAIDANA CACTYT;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
246;26/04/2015;10:43;SI;AYS940;CHEVROLET;;GRIS;PARTICULAR;S/D;S/D;YANYORE 1180;AMADEO;ALAMINO -NTN845;SI;;20/07/2015;16:00;CABRERIZO CACTYT;PIZARRO;TRASLADO A HERRERA;;
247;26/04/2015;13:11;SI;B1966618;MAZDA;E2200;GRIS;PARTICULAR;S/D;S/D;TAMBORIN 2999;AMADEO;ALAMINO -NTN845;SI;;03/11/2015;09:45;MAIDANA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
248;27/04/2015;09:55;SI;S/PLACA;;;GRIS;PARTICULAR;S/D;S/D;C.BARRO Y C.CALVO ;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;27/04/2015;16:48;LEIVA- CACTYT;PIZARRO;TRASLADO A HERRERA;;
249;27/04/2015;10:30;SI;S/PLACA;;;OXIDADO;PARTICULAR;S/D;S/D;CACHIMAYO 1907;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;08/05/2015;16:21;SANTOLLA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
250;27/04/2015;11:03;SI;AZU956;FORD;ORION;AZUL;PARTICULAR;S/D;S/D;TACUARI 1794;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;04/06/2015;18:20;RODRIGUEZ OCAMPO (T) (DNI: 12150614);GATICA;RETIRA TITULAR;;
251;27/04/2015;11:50;SI;SGO172;HYUNDAI;;AZUL;PARTICULAR;S/D;S/D;CERRI 1013;AYES-APES-MORENO-PLATAS;CORNAGO;SI;;26/10/2015;17:00;FUENTES CACTYT;AYESTARAN/PIZARRO/HURTADO;RETIRA TITULAR;;
252;27/04/2015;16:05;SI;BDR905;HONDA;CIVIC;GRIS;PARTICULAR;S/D;S/D;ASOBISPO 2200;GATICA;FUENTES;SI;;02/07/2015;16:30;FUENTES CACTYT;PIZARRO;TRASLADO A HERRERA;;
253;27/04/2015;20:45;SI;UIP013;PEUGEOT;504;MARRON;PARTICULAR;S/D;S/D;BOYACA 380;GATICA;S.O.S GABRIELLI;SI;;27/10/2015;11:00;DOMINGUEZ CACTYT;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
254;27/04/2015;21:00;SI;U017906;CHEVROLET;CHEVY;VERDE;PARTICULAR;S/D;S/D;BOGOTA 1941;GATICA;S.O.S CETTOUR;SI;;22/07/2015;10:45;CORNAGO (CACTYT);APES/PLATAS;TRASLADO A HERRERA;;
255;28/04/2015;09:37;SI;WRD554;FORD;FALCON;GRIS;PARTICULAR;S/D;S/D;PAISANDU 1951;AYES-APES-MORENO-PLATAS;S.O.S MEDINA;SI;;01/07/2015;16:45;SANTOLLA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
256;28/04/2015;09:55;SI;CEH202;FORD;FIESTA;GRIS;PARTICULAR;S/D;S/D;BALLIVIAN 2786;AYES-APES-MORENO-PLATAS;S.O.S GABRIELLI;SI;;27/10/2015;10:00;MAIDANA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
257;28/04/2015;10:15;SI;BLJ922;PEUGEOT;405;GRIS;PARTICULAR;S/D;S/D;MEXICO 486;AYES-APES-MORENO-PLATAS;S.O.S APONTE;SI;;28/07/2015;11:14;ACOSTA;CARRILLO / PLATAS/ APES;TRASLADO A HERRERA;;
258;28/04/2015;10:55;SI;XFN953;RENAULT;18;NEGRO;PARTICULAR;S/D;S/D;ERSILLA 5676;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;28/07/2015;09:55;ACOSTA;CARRILLO / PLATAS/ APES;TRASLADO A HERRERA;;
259;28/04/2015;11:35;SI;C162480;FORD;FALCON;BLANCO;PARTICULAR;S/D;S/D;MEXICO 4335;AYES-APES-MORENO-PLATAS;S.O.S APONTE;SI;;21/07/2015;10:25;MAIDANA (CACTYT);CARRILLO / PLATAS/ APES;TRASLADO A HERRERA;;
260;28/04/2015;14:05;SI;WUP466;VW;;CELESTE;PARTICULAR;S/D;S/D;AGUIRRE 461;HURTADO;S.O.S MEDINA;SI;;;;;;;;
261;28/04/2015;14:38;SI;CQD649;ALFA ROMEO;146;GRIS;PARTICULAR;S/D;S/D;CONDARCO 94;PIZARRO;S.O.S GABRIELLI;SI;;24/06/2015;19:00;LEIVA (CACTYT);GATICA;TRASLADO A HERRERA;;
262;28/04/2015;15:50;SI;B1918201;FORD;TAUNUS;;PARTICULAR;S/D;S/D;BOGOTA 2128;PIZARRO;S.O.S GODOY;SI;;27/08/2015;17:00;MANGO CACTYT;PIZARRO/HURTADO;TRASLADO A HERRERA;;
263;28/04/2015;16:20;SI;RHG758;FIAT;125;AZUL;PARTICULAR;S/D;S/D;VIRREY LINIERS 477;GATICA;S.O.S MEDINA;SI;;21/07/2015;15:00;FUENTES CACTYT;PIZARRO;TRASLADO A HERRERA;;
264;28/04/2015;16:31;SI;ULQ790;FIAT;REGATTA;CELESTE;PARTICULAR;S/D;S/D;BOGOTA 2158;PIZARRO;S.O.S GABRIELLI;SI;;24/06/2015;10:29;DE PAOLA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
265;28/04/2015;16:47;SI;BOS066;RENAULT;19;GRIS;PARTICULAR;S/D;S/D;SAN JOSE 1500;GATICA;FUENTES;SI;;14/05/2015;16:40;GRUA TOPO WRA510;GATICA;RETIRA TITULAR ALONSO;;
266;28/04/2015;17:32;SI;RHL120;RENAULT;21;GRIS;PARTICULAR;S/D;S/D;SAN JOSE 1200;HURTADO;FUENTES;SI;;24/06/2015;10:28;SICA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
267;28/04/2015;18:57;SI;S/PLACA;NISSAN;;BLANCO;PARTICULAR;S/D;S/D;GUALEGUAY 300;GATICA;FUENTES;SI;;09/05/2015;12:48;BARROCA (CACTYT) NTN849;AMADEO;TRASLADO A HERRERA;;
268;29/04/2015;10:00;SI;WGO649;DATSUN;200 L;;PARTICULAR;S/D;S/D;S.BUSTAMANTE 2228;AYES-APES-MORENO-PLATAS;GRECO;SI;;24/06/2015;11:20;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
269;30/04/2015;11:30;SI;RWU625;HONDA;ACCORD;AZUL;PARTICULAR;S/D;S/D;SAENZ 42;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;24/06/2015;10:20;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
270;30/04/2015;12:30;SI;BHF099;RENAULT;9;BORDO;PARTICULAR;S/D;S/D;USPALLATA 934;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;22/07/2015;15:40;MANGO CACTYT;LIETS/PIZARRO;TRASLADO A HERRERA;;
271;30/04/2015;15:15;SI;UMB335;RENAULT;11;BLANCO;PARTICULAR;S/D;S/D;USPALLATA 400;PIZARRO;FUENTES;SI;;03/11/2015;10.45;MAIDANA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
272;30/04/2015;18:01;SI;SIN477;FIAT;FIORINO;BLANCO;PARTICULAR;S/D;S/D;CASTRO 881;PIZARRO;CABRERIZO;SI;;03/11/2015;9.30;SICA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
273;30/04/2015;18:52;SI;C587822;;;OXIDADO;PARTICULAR;S/D;S/D;MURATURE 4590;PIZARRO;S.O.S BRANDSON;SI;;04/08/2015;17:00;VANESKEHEIAN;PIZARRO;TRASLADADO A HERRERA;;
274;30/04/2015;19:30;SI;XRF502;FORD;FUTURA;VERDE;PARTICULAR;S/D;S/D;ESTADOS UNIDOS 1306;BATICA;LEIVA;SI;;09/09/2015;10:30;DOMINGUEZ;PLATAS/APES;TRASLADO A HERRERA;;
275;01/05/2015;09:33;SI;S/PLACA;CHEVROLET;;OXIDADO;PARTICULAR;S/D;S/D;OLIDEN 610;AMADEO;S.O.S-INB474 -CETTOUR ;SI;;24/07/2015;09:30;MAIDANA;CARRILLO/PLATAS;TRASLADO A HERRERA;;
276;01/05/2015;09:33;SI;S/PLACA;;;NEGRO;PARTICULAR;S/D;S/D;OLIDEN 610;AMADEO;S.O.S-INB474 -CETTOUR ;SI;;24/07/2015;11:08;MAIDANA;CARRILLO/PLATAS;TRASLADO A HERRERA;;
277;01/05/2015;12:00;SI;S/PLACA;;;OXIDADO;PARTICULAR;S/D;S/D;OLIDEN 600;ACAQUACALDA;S.O.S -;SI;;23/05/2015;11:40;GRUA ALCOVENTO (DANTE PICCIARDI) ADI182;CALDERON;RETIRA TITULAR RUSSO EMILIANO;;
278;01/05/2015;11:53;SI;S/PLACA;;;OXIDADO;PARTICULAR;S/D;S/D;OLIDEN 600;AMADEO;S.O.S-MEDINA;SI;;29/05/2015;10:30;;MORENO/APES ;ALBERTI HECTOR MARCELO(T)22110288;;
279;04/05/2015;10:50;SI;S/PLACA;FIAT;125;VERDE;PARTICULAR;S/D;S/D;OBLIGADO 4391;AYESTARAN-APES-MORENO;DE PAOLA;SI;;28/05/2015;15:40;LEYVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
280;04/05/2015;11:30;SI;RKD211;FIAT;DUNA;GRIS;PARTICULAR;S/D;S/D;VIEYTES 1250;AYESTARAN-APES-MORENO;ACOSTA;SI;;22/07/2015;14:45;MANGO CACTYT;PIZARRO;TRASLADO A HERRERA;;
281;04/05/2015;12:00;SI;S/PLACA;VALIANT;;BORDO;PARTICULAR;S/D;S/D;PAREJO 2100;AYESTARAN-APES-MORENO;MAIDANA;SI;;28/05/2015;18:20;LEYVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
282;04/05/2015;12:56;SI;AVI210;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;GONCALVER DIAZ 419;PIZARRO;LEIVA;SI;;21/07/2015;16:00;LEIVA CACTYT;PIZARRO/BERARDI;TRASLADO A HERRERA;;
283;04/05/2015;19:10;SI;VIZ852;;;CREMA;PARTICULAR;S/D;S/D;QUINTINO 1116;GATICA;LOPEZ RODRIGUEZ;SI;;;;;;;;
284;05/05/2015;09:38;SI;FYX014;VW;CANDY;BLANCO;PARTICULAR;S/D;S/D;PARAGUAY 2878;MORENO-AYESTARAN-PLATAS;ACOSTA;SI;;26/06/2015;10:45;BINETTI CACTYT;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
285;05/05/2015;09:45;SI;TSR828;VW;1500;BORDO;PARTICULAR;S/D;S/D;CAMPANA 96;MORENO-AYESTARAN-PLATAS;MAIDANA;SI;;24/06/2015;11:40;DE PAOLA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
286;05/05/2015;16:30;SI;XBG034;;SSWIDE;NEGRO;PARTICULAR;S/D;S/D;BACACAI 4845;HURTADO-GATICA;LOPEZ FABIAN;SI;;14/09/2015;18:30;LEIVA(CACTYT);PIZARRO/AYESTARAN/HURTADO;TRASLADO A HERRERA;;
287;05/05/2015;16:48;SI;VZY950;SUBARU;;BLANCO;PARTICULAR;S/D;S/D;BAHIA BLANCA 700;HURTADO-GATICA;LEIVA;SI;;14/09/2015;17:00;LEIVA(CACTYT); ;TRASLADO A HERRERA;;
288;05/05/2015;00:20;SI;;RENAULT;19;ROJO;PARTICULAR;S/D;S/D;S/D;BERADI-LIETS-BRAGUE;VELAZQUEZ;SI;;11/05/2015;20:00;SANTOLLI CACTYT;PIZARRO;TRASLADO A HERRERA;;
289;06/05/2015;10:45;SI;GUW806;CHEVROLET;CORSA;NEGRO;PARTICULAR;S/D;S/D;BACACAI Y BAHIA BLANCA;MORENO-AYESTARAN-PLATAS;ACOSTA;SI;;09/07/2015;10:00;ABAS ISAAC (T) 18390239 GRUA FEDERAL;ACQUACALDA;RETIRA TITULAR;;
290;06/05/2015;12:05;SI;WUX105;SUBARU;;VERDE;PARTICULAR;S/D;S/D;BARADERO 14;MORENO-AYESTARAN-PLATAS;ACOSTA;SI;;20/07/2015;14:48;BELMONTE ORLANDO 94157894 GRUA ACA N§2258;PIZARRO;RETIRA TITULAR;;
291;06/05/2015;16:35;SI;VIF171;NISSAN;SENTRA;GRIS;PARTICULAR;S/D;S/D;AZUL 300;GATICA;FUENTES;SI;;20/07/2015;17:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
292;07/05/2015;10:00;SI;VRG127;VW;SENDA;BLANCO;PARTICULAR;S/D;S/D;GUALEGUAY 572;MORENO-PLATAS;ACOSTA;SI;PARA COMPACTAR;11/08/2015;16:50;FUENTES CACTYT;PIZARRO/HURTADO;TRASLADADO A HERRERA;;
293;07/05/2015;11:06;SI;BDR118;DACIA;;ROJO;PARTICULAR;S/D;S/D;AV.SAENZ 17;MORENO-PLATAS;MAIDANA;SI;;21/07/2015;17:10;MANGO CACTYT;PIZARRO/BERARDI;TRASLADO A HERRERA;;
294;07/05/2015;12:30;SI;S/PLACA;FORD;SIERRA;BORDO;PARTICULAR;S/D;S/D;ACHALA 3600;MORENO-PLATAS;MAIDANA;SI;;08/05/2015;19:00;SANTOLLI CACTYC;PIZARRO;TRASLADO A HERRERA;;
295;07/05/2015;13:00;SI;C475969;FARGO;;OXIDADO;CAMION;S/D;S/D;BERON DE ASTRADA 2730;MORENO-PLATAS;S.O.S BRANDSON;SI;PARA COMPACTAR;;;;;;;
296;07/05/2015;14:42;SI;S/PLACA;;;OXIDADO;CAMION;S/D;S/D;CASTA¥ON 3528;PIZARRO;S.O.S PRAGLIOLA;SI;;21/05/2015;13:00;DE PAOLA ALMEJA ;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
297;07/05/2015;14:49;SI;S/PLACA;;;ROJO;CUPULA;S/D;S/D;CASTA¥ON 3270;PIZARRO;S.O.S CA¥IZA;SI;PARA COMPACTAR;19/08/2016;12:48;COMPAC. EN PLAYA;CARRILLO;COMPAC. EN PLAYA;;
298;07/05/2015;15:16;SI;S/PLACA;CHEVROLET;510;OXIDADO;PICK UP;S/D;S/D;INCLAN Y VIRREY LINIERS;HURTADO;TAPIA;SI;;10/06/2015;/;/;GATICA;RETIRA TITULAR LOBOSCO(T)5407535;;
299;07/05/2015;16:00;SI;TCB546;MAZDA;626;GRIS;PARTICULAR;S/D;S/D;AGRELO 3495;GATICA;S.O.S BRANDSON;SI;;16/07/2015;16:16;GRUA REMOLQUE FEDERAL VLZ934;PIZARRO;RETIRA ARRUA NATIVIDAD(T) 2341462;;
300;07/05/2015;16:15;SI;WXS986;MERCEDEZ;SG;CELESTE;PARTICULAR;S/D;S/D;CESAR DIAZ 3900;;FUENTES;SI;;18/05/2015;18:12; GRUA ACA CHQ495;PIZARRO;OCANIO ALEJANDRO (t) 10833465;;
301;07/05/2015;17:15;SI;S/PLACA;VW;POLO;GRIS;PARTICULAR;S/D;S/D;LA RIOJA 301;GATICA;S.O.S PRAGLIOLA;SI;;04/06/2015;10:15;DOMINGUEZ CACTYT;MORENO-APES-PLATAS;TRASLADO A HERRERA;;
302;07/05/2015;17:40;SI;RTU065;RENAULT;11;BORDO;PARTICULAR;S/D;S/D;AG.GARCIA 1879;GATICA;S.O.S CA¥IZA;SI;;03/11/2015;09:00;MAIDANA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
303;07/05/2015;18:44;SI;RKK198;VW;;BLANCO;PARTICULAR;S/D;S/D;GUALEGUAYCHU 350;HURTADO;SANTOLI;SI;;09/09/2015;10:55;DOMINGUEZ;PLATAS/APES;TRASLADO A HERRERA;;
304;07/05/2015;19:45;SI;DUW092;SEAT;INCA;BLANCO;PARTICULAR;S/D;S/D;BOEDO 412;GATICA;S.O.S CA¥IZA;SI;;06/07/2015;15:30;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
305;08/05/2015;10:05;SI;WEKd947;GMC;;GRIS;PARTICULAR;S/D;S/D;BELAUSTEGUI;MORENO-APES-PLATAS;MAIDANA;SI;;06/07/2015;16:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
306;08/05/2015;10:35;SI;BZL304;HONDA;CIVIC;VERDE;PARTICULAR;S/D;S/D;B.BLANCA 464;MORENO-APES-PLATAS;ACOSTA;SI;;01/07/2015;17:30;SANTOLLI (CACTYT);PIZARRO;TRASLADO A HERRERA;;
307;08/05/2015;11:20;SI;S/PLACA;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;INCLAN 2817;MORENO-APES-PLATAS;ACOSTA;SI;;18/08/2015;16:20;PEREZ(CACTYT);PIZARRO/HURTADO;TRASLADO A HERRERA;;
308;08/05/2015;13:10;SI;ALI416;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;LUPI 1551;APES-PLATAS;CORNAGO;SI;PARA COMPACTAR;04/08/2015;16:10;CABRERIZO CACTYT;PIZARRO/HURTADO;TRASLADO A HERRERA;;
309;08/05/2015;14:45;SI;IGM097;CHEVROLET;CORSA;GRIS;PARTICULAR;S/D;S/D;DOLORES 300;HURTADO;FUENTES;SI;PARA COMPACTAR;27/07/2015;09:33;MAIDANA;CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
